facilityid	dest_node_id	vrid	qa_location	containerid	asin	sum_net_units	reason_short	creationdate	checkin_date	run_date	type	is_manifested
IMXN	IMXN	HOU2_IMXN_02424b56-c4ca-4a12-af4a-5101200b2f42	PS-MONSE	l1sys28	ZZRLTV2HWB	1	Human_Reject	2025-04-06	2025-04-12	2025-04-14	PROBLEM_SOLVING	N
IMXN	IMXN	CSG1_IMXN_48c8b99c-3d2e-491d-ac79-9cd652164bbf	ESTANTE1-IMXN	MTY035	ZZRDXJ3QD1	1	Human_Reject	2025-04-06	2025-04-10	2025-04-14	PROBLEM_SOLVING	N
IMXN	IMXN	ORD5_IMXN_8b5bbeee-3027-4da8-ba74-7750688bbe2e	DESTRUCTION AREA	paXdesabr24	ZZTEMIU4DP	3	Human_Reject	2025-04-01	2025-04-09	2025-04-14	PROBLEM_SOLVING	N
IMXN	IMXN	ORD5_IMXN_8b5bbeee-3027-4da8-ba74-7750688bbe2e	ESTANTE1-IMXN	MTY034	B002Y4E196	3	Human_Reject	2025-04-01	2025-04-09	2025-04-14	PROBLEM_SOLVING	N
IMXN	IMXN	LIT1_IMXN_1303a1fd-d573-4b60-8626-d85c4d2c077c	DESTRUCTION AREA NO IMPORTABLE	paXdesabr23	ZZXXYY6Z3H	1	Human_Reject	2025-04-02	2025-04-07	2025-04-14	PROBLEM_SOLVING	N
IMXJ	TIJ1	113X4NG9F	CPS-UVA	paXdesmar10	B07Q8Z74MQ	1	Human_Reject	2025-03-21	2025-04-03	2025-04-14	PROBLEM_SOLVING	N
IMXN	IMXN	ORD5_IMXN_b9e02c78-40be-4616-ad79-6f28981221c6	ESTANTE1-IMXN	MTY07	ZZXW2ZYDV5	1	Human_Reject	2025-03-24	2025-04-01	2025-04-14	PROBLEM_SOLVING	N
IMXN	IMXN	ORD5_IMXN_b9e02c78-40be-4616-ad79-6f28981221c6	DESTRUCTION AREA SIDELINE REPORT	paXdesabr15	B071JM699P	2	Human_Reject	2025-03-24	2025-04-01	2025-04-14	PROBLEM_SOLVING	N
IMXN	IMXN	FTW6_IMXN_37db5746-79be-415a-a61e-b782a30ad0d9	ESTANTE1-IMXN	MTY039	ZZUMGOQZO3	1	Human_Reject	2025-03-30	2025-04-01	2025-04-14	PROBLEM_SOLVING	N
IMXN	IMXN	FTW6_IMXN_37db5746-79be-415a-a61e-b782a30ad0d9	ESTANTE1-IMXN	MTY001	B00S9SSJ6M	4	Human_Reject	2025-03-30	2025-04-01	2025-04-14	PROBLEM_SOLVING	N
IMXN	IMXN	HOU2_IMXN_df5cb273-7c44-4b2a-981c-4c3cd206ef73	ESTANTE1-IMXN	MTY008	ZZRFYCCG81	1	Human_Reject	2025-03-24	2025-03-31	2025-04-14	PROBLEM_SOLVING	N
IMXN	IMXN	HOU2_IMXN_df5cb273-7c44-4b2a-981c-4c3cd206ef73	ESTANTE1-IMXN	MTY008	ZZWDXSKXIN	2	Human_Reject	2025-03-24	2025-03-31	2025-04-14	PROBLEM_SOLVING	N
IMXN	IMXN	ORD5_IMXN_4287e279-e10b-42f4-a78f-fa0562bd5d62	DESTRUCTION AREA SIDELINE REPORT	paXdesabr14	ZZSLWG29X9	2	Human_Reject	2025-03-24	2025-03-30	2025-04-14	PROBLEM_SOLVING	N
IMXN	IMXN	ORD5_IMXN_4287e279-e10b-42f4-a78f-fa0562bd5d62	VIRTUAL COMPLIANCE	paXvirabr01	ZZWENX1O17	1	Human_Reject	2025-03-24	2025-03-30	2025-04-14	PROBLEM_SOLVING	N
IMXN	IMXN	AUS3_IMXN_829a8eda-b8b5-47b7-8641-e1d5be7aeb98	ESTANTE1-IMXN	MTY043	ZZUSKWV6TT	1	Human_Reject	2025-03-17	2025-03-20	2025-04-14	PROBLEM_SOLVING	N
IMXN	IMXN	LIT1_IMXN_5269f4af-fd02-4ccb-97f8-d889df620d5a	ESTANTE1-IMXN	MTY006	ZZUT100R0D	1	Human_Reject	2025-03-12	2025-03-16	2025-04-14	PROBLEM_SOLVING	N
IMXN	IMXN	SAT2_IMXN_6456687b-23a9-4749-b181-67c3e6790472	DESTRUCTION AREA SIDELINE REPORT	paXdesmar22	ZZTHSO5M8H	18	Human_Reject	2025-02-26	2025-03-05	2025-04-14	PROBLEM_SOLVING	N
IMXN	IMXN	SAT2_IMXN_6f6cadd8-d679-4dbf-a594-681df29891dd	Problem Solving OPS	problemSolvingContainer	B0BQPGJ9LQ	2	Other	2025-03-10	2025-03-20	2025-04-14	PROBLEM_SOLVING	Y
IMXJ	TIJ1	1166V7DSK	CPS-UVA	tsX326kf4pv	ZZUAF7GDD1	1	System_Reject	2025-03-29	2025-04-12	2025-04-14	PROBLEM_SOLVING	Y
IMXJ	TIJ1	113R339MY		paXdesmar11	B074GXNH33	1	System_Reject	2025-04-03	2025-04-09	2025-04-14	PROBLEM_SOLVING	N
IMXJ	TIJ1	113R339MY		paXdesmar11	B0DSZRN6TY	1	System_Reject	2025-04-03	2025-04-09	2025-04-14	PROBLEM_SOLVING	N
IMXJ	TIJ1	113NW1M2V	CPS-UVA	tsX3hkk0rt1	B0BCQP5SWG	1	System_Reject	2025-04-02	2025-04-09	2025-04-14	PROBLEM_SOLVING	N
IMXJ	TIJ1	113R339MY		paXdesmar11	ZZT664OJ4N	1	System_Reject	2025-04-03	2025-04-09	2025-04-14	PROBLEM_SOLVING	N
IMXJ	TIJ1	113R339MY		paXdesmar11	B0D9JTB85N	1	System_Reject	2025-04-03	2025-04-09	2025-04-14	PROBLEM_SOLVING	N
IMXJ	MEX3	116TQQKNW		paXdesabr01	ZZSAL01OGP	1	System_Reject	2025-03-29	2025-04-06	2025-04-14	PROBLEM_SOLVING	N
IMXJ	TIJ1	113X4NG9F	CPS-UVA	paXdesmar10	ZZTLNQP6D7	1	System_Reject	2025-03-21	2025-04-03	2025-04-14	PROBLEM_SOLVING	N
IMXJ	TIJ1	113BJPC27	ESTANTE1 E2	tsX0e0g687d	ZZSKNP4QSL	1	System_Reject	2025-03-10	2025-03-17	2025-04-14	PROBLEM_SOLVING	Y
IMXJ	MEX3	115Q68ZTB	CPS-UVA	tsXPBFL5D4M	B07WVVXXVX	1	System_Reject	2025-03-03	2025-03-14	2025-04-14	PROBLEM_SOLVING	N
IMXN	IMXN	ORD5_IMXN_8b5bbeee-3027-4da8-ba74-7750688bbe2e	DESTRUCTION AREA	paXdesabr24	ZZUPZL6VBL	3	ASIN_Damaged	2025-04-01	2025-04-09	2025-04-14	PROBLEM_SOLVING	N
IMXN	IMXN	ORD5_IMXN_8b5bbeee-3027-4da8-ba74-7750688bbe2e	DESTRUCTION AREA	paXdesabr24	ZZTWHDXWKT	1	ASIN_Damaged	2025-04-01	2025-04-09	2025-04-14	PROBLEM_SOLVING	Y
IMXJ	TIJ1	113X4NG9F	CPS-UVA	paXdesmar10	ZZR8WI3T1H	1	ASIN_Damaged	2025-03-21	2025-04-03	2025-04-14	PROBLEM_SOLVING	N
IMXJ	TIJ1	113X4NG9F	CPS-UVA	paXdesmar10	ZZRA59BMJH	1	ASIN_Damaged	2025-03-21	2025-04-03	2025-04-14	PROBLEM_SOLVING	N
